embedding,model,auc_mean,auc_std,f1_mean,f1_std,auc_fold_1,auc_fold_2,auc_fold_3,auc_fold_4,auc_fold_5,f1_fold_1,f1_fold_2,f1_fold_3,f1_fold_4,f1_fold_5
cAE-PCA32 + Clinical,LogReg,0.5991249144044978,0.015575344206813382,0.5816276218461878,0.01239251616541937,0.598984771573604,0.6121913447474835,0.6086638561472941,0.6065854913393929,0.5691991082147144,0.5968778334017395,0.5717404035099374,0.593862312150186,0.5809841269841269,0.5646734331849488
cAE-PCA32 + Clinical,RF,0.6262064998563676,0.023769015768849096,0.6096215274984385,0.016186570821052956,0.661662221457455,0.6076744386130947,0.6306891508216468,0.6375836048705196,0.5934230835191219,0.6313136283285538,0.6111393251617083,0.6149303524620351,0.6095454659897885,0.5811788655501064
cAE-PCA32 + Clinical,XGBoost,0.6178773221411079,0.02923941322108873,0.6108655840554142,0.03220848112570406,0.6612320399208464,0.5725286070721843,0.6233330465456423,0.6284513805522208,0.6038415366146459,0.6594140981401659,0.5639227237869415,0.627229441370044,0.5919532547494633,0.6118084022304571
cAE-PCA32 + Clinical,LightGBM,0.616820514171918,0.026638259931990493,0.6112111259501697,0.023323140524172774,0.6576185150133358,0.5745504602942442,0.6217843930138519,0.6208197564740181,0.60932944606414,0.6492686766220959,0.5808376362593229,0.6230818541988503,0.6043328088041725,0.5985346538664074
cAE-PCA32 + Clinical,MLP,0.6117692319734644,0.026377663951278114,0.5857004149822644,0.03072038041597593,0.6288393702142304,0.6187731222575927,0.6053084401617482,0.6413136683244727,0.5646115589092779,0.6260345892886968,0.571581611032412,0.5845100433335727,0.609090424995553,0.5372854062610879
cAE-PCA32 + Clinical,Stack,0.6302453157612894,0.022662501252355693,0.6187813151978687,0.02810537670406781,0.6615761851501334,0.600404370644412,0.638131291404973,0.6427285199794204,0.6083862116275082,0.6609367531598482,0.5830209986575864,0.6372559570265687,0.6173717421124828,0.5953211250328573
Raw scGPT-PCA32 + Clinical,LogReg,0.6002297195964459,0.012074239393789302,0.5730105873675357,0.020000387663797244,0.6032435687860278,0.6030284780177235,0.598726662651639,0.616789572972046,0.5793603155547933,0.5999363371336959,0.5751103013692942,0.5595181662408553,0.5872439478584729,0.5432441842353609
Raw scGPT-PCA32 + Clinical,RF,0.6185869630604419,0.02261484941955916,0.6028489452459806,0.01371819994994297,0.6331411855803148,0.6019100060225415,0.6317646046631679,0.6433287600754587,0.5827902589607271,0.606417559049138,0.5852362376994525,0.598658626523795,0.6267004127049273,0.59723189025259
Raw scGPT-PCA32 + Clinical,XGBoost,0.6049319350409502,0.02688833290345963,0.599753955759318,0.01592796587808315,0.6372279101780952,0.564613266798589,0.6207519573259916,0.619276281941348,0.5827902589607272,0.6253557725491788,0.5905651358911375,0.5862543246052897,0.6113764387550992,0.5852181069958848
Raw scGPT-PCA32 + Clinical,LightGBM,0.610301119993234,0.030528448361848762,0.6034477710803672,0.028211898773764697,0.6367977286414866,0.5721844618428977,0.6155897788866902,0.6485165494769336,0.5784170811181616,0.634765518157179,0.5776396797826396,0.6096204918488093,0.6309709040279513,0.5642422615852568
Raw scGPT-PCA32 + Clinical,MLP,0.6110506119090745,0.03862515224758219,0.579603115959569,0.03190834460342544,0.6432934698442743,0.6130947259743612,0.6118471995181967,0.647358943577431,0.5396587206311096,0.6197494563355658,0.5681495405179615,0.5920463399521869,0.5932906365618245,0.5247796064303065
Raw scGPT-PCA32 + Clinical,Stack,0.6249435507539627,0.02709015174892699,0.6166431179385862,0.030940498670168005,0.6550374257936848,0.5960595371246666,0.6324528951217413,0.6508746355685131,0.5902932601612073,0.6481419136564462,0.5802197802197802,0.6365206489481552,0.6404781744047817,0.5778550724637681
cAE-full + Clinical,LogReg,0.6022263093361875,0.018106669820511904,0.5791711601548662,0.02610252803266448,0.5991138260345866,0.6068140755398779,0.597048954658866,0.6321385697135997,0.5760161207340079,0.6094974467562189,0.5654884385976737,0.5688007054673722,0.6089935721405869,0.5430756378124799
cAE-full + Clinical,RF,0.5902381657915068,0.03336426492221889,0.5876152131311042,0.020928446968347603,0.6322808225070979,0.5876709971608018,0.6207519573259916,0.569584976847882,0.5409020751157606,0.6230818541988503,0.5980403848132246,0.569236404798686,0.5811788655501064,0.5665385562946539
cAE-full + Clinical,XGBoost,0.6049424944447119,0.017127760153394185,0.6067144824102273,0.014176230873103912,0.618988213025897,0.5880151423900887,0.6313774412802202,0.5950094323443662,0.5913222431829874,0.6133308427508483,0.604933809716343,0.6296014996102507,0.5878635983899141,0.5978426615837809
cAE-full + Clinical,LightGBM,0.6031366814741285,0.017054376393996384,0.604881860627203,0.015543314080174855,0.6225587197797471,0.5861223436290114,0.6220855200894777,0.6024695592522724,0.5824472646201337,0.6257425828515876,0.5850797043622155,0.6113846352652322,0.6135471721037604,0.5886552085532187
cAE-full + Clinical,MLP,0.6070360273753926,0.019084616163160175,0.5673942299252543,0.0329666341842023,0.6129656715133787,0.6074163296911297,0.5942527746709112,0.6385697135997256,0.5819756474018178,0.6157498896994695,0.5400062015980648,0.5751174957878868,0.583662408052652,0.5224351544881989
cAE-full + Clinical,Stack,0.6200913892676945,0.01894207049090999,0.6079842389897027,0.02822814007225454,0.6397229630904241,0.6045771315495139,0.6410565258539105,0.6219344880809466,0.5931658377636769,0.642122171418878,0.5771686357943048,0.6393254079440686,0.6026126676558726,0.5786923121353896
